date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:29	13903/13903	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-364f%22	https://prium.github.io/Boots4/assets/img/shapes/1.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/shapes/1.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:29	431724/431724	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-6966c%22	https://prium.github.io/Boots4/assets/img/infinity.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/infinity.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:29	4660/4660	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-1234%22	https://prium.github.io/Boots4/assets/img/icons/lightbulb_idea.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/icons/lightbulb_idea.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:29	25457/25457	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-6371%22	https://prium.github.io/Boots4/assets/img/shapes/2.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/shapes/2.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:30	3298/3298	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-ce2%22	https://prium.github.io/Boots4/assets/img/icons/coffe.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/icons/coffe.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:30	11958/11958	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-2eb6%22	https://prium.github.io/Boots4/assets/img/shapes/3.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/shapes/3.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:30	2966/2966	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-b96%22	https://prium.github.io/Boots4/assets/img/icons/cloud.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/icons/cloud.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:30	60478/60478	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-ec3e%22	https://prium.github.io/Boots4/assets/img/team/1.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/team/1.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:31	64725/64725	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-fcd5%22	https://prium.github.io/Boots4/assets/img/team/2.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/team/2.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:31	27826/27826	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-6cb2%22	https://prium.github.io/Boots4/assets/img/team/3.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/team/3.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:31	29737/29737	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-7429%22	https://prium.github.io/Boots4/assets/img/team/4.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/team/4.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:31	39106/39106	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-98c2%22	https://prium.github.io/Boots4/assets/img/team/6.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/team/6.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:32	37947/37947	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-943b%22	https://prium.github.io/Boots4/assets/img/team/5.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/team/5.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:32	34964/34964	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-8894%22	https://prium.github.io/Boots4/assets/img/team/7.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/team/7.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:32	38770/38770	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-9772%22	https://prium.github.io/Boots4/assets/img/sidebars/about.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/sidebars/about.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:32	67442/67442	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-10772%22	https://prium.github.io/Boots4/assets/img/team/8.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/team/8.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:32	1012/1012	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-3f4%22	https://prium.github.io/Boots4/assets/img/times.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/times.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:33	970/970	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-3ca%22	https://prium.github.io/Boots4/assets/img/times-black.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/times-black.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:33	2259/2259	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d78dfe3-8d3%22	https://prium.github.io/Boots4/assets/img/icons/brush.svg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/icons/brush.svg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:33	13706/13706	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-358a%22	https://prium.github.io/Boots4/assets/img/logo/1.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/logo/1.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:33	42017/42017	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-a421%22	https://prium.github.io/Boots4/assets/img/logo/2.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/logo/2.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:33	22544/22544	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-5810%22	https://prium.github.io/Boots4/assets/img/logo/3.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/logo/3.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:34	19415/19415	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-4bd7%22	https://prium.github.io/Boots4/assets/img/logo/4.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/logo/4.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:34	23536/23536	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-5bf0%22	https://prium.github.io/Boots4/assets/img/logo/5.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/logo/5.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:34	40655/40655	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-9ecf%22	https://prium.github.io/Boots4/assets/img/logo/6.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/logo/6.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:34	16243/16243	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-3f73%22	https://prium.github.io/Boots4/assets/img/logo/7.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/logo/7.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:35	29650/29650	---M--	200	added ('OK')	image/png	etag:%225d78dfe3-73d2%22	https://prium.github.io/Boots4/assets/img/logo/8.png	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/logo/8.png	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:35	39135/39135	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-98df%22	https://prium.github.io/Boots4/assets/img/sidebars/service.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/sidebars/service.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:36	67687/67687	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-10867%22	https://prium.github.io/Boots4/assets/img/projects/project-7.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-7.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:36	232122/232122	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-38aba%22	https://prium.github.io/Boots4/assets/img/projects/project-7-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-7-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:36	119300/119300	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-1d204%22	https://prium.github.io/Boots4/assets/img/projects/project-11-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-11-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:36	28858/28858	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-70ba%22	https://prium.github.io/Boots4/assets/img/projects/project-11.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-11.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:37	83739/83739	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-1471b%22	https://prium.github.io/Boots4/assets/img/projects/project-8.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-8.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:38	212707/212707	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-33ee3%22	https://prium.github.io/Boots4/assets/img/projects/project-9-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-9-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:38	684433/684433	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-a7191%22	https://prium.github.io/Boots4/assets/img/projects/project-8-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-8-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:38	91011/91011	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-16383%22	https://prium.github.io/Boots4/assets/img/projects/project-9.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-9.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:38	62699/62699	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-f4eb%22	https://prium.github.io/Boots4/assets/img/projects/project-12.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-12.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:39	40511/40511	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-9e3f%22	https://prium.github.io/Boots4/assets/img/projects/project-13.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-13.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:39	80074/80074	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-138ca%22	https://prium.github.io/Boots4/assets/img/projects/project-15.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-15.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:39	603421/603421	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-9351d%22	https://prium.github.io/Boots4/assets/img/projects/project-12-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-12-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:39	140417/140417	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-22481%22	https://prium.github.io/Boots4/assets/img/projects/project-14.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-14.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:40	65531/65531	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-fffb%22	https://prium.github.io/Boots4/assets/img/projects/project-10.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-10.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:40	133195/133195	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-2084b%22	https://prium.github.io/Boots4/assets/img/sidebars/portfolio.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/sidebars/portfolio.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:40	68204/68204	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-10a6c%22	https://prium.github.io/Boots4/assets/img/gallery/1.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/1.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:41	41672/41672	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-a2c8%22	https://prium.github.io/Boots4/assets/img/gallery/2.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/2.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:41	145002/145002	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-2366a%22	https://prium.github.io/Boots4/assets/img/gallery/2-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/2-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:41	395524/395524	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-60904%22	https://prium.github.io/Boots4/assets/img/projects/project-10-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/projects/project-10-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:41	256108/256108	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-3e86c%22	https://prium.github.io/Boots4/assets/img/gallery/1-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/1-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:42	79020/79020	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-134ac%22	https://prium.github.io/Boots4/assets/img/gallery/3.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/3.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:42	284334/284334	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-456ae%22	https://prium.github.io/Boots4/assets/img/gallery/3-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/3-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:42	76556/76556	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-12b0c%22	https://prium.github.io/Boots4/assets/img/gallery/4.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/4.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:43	304449/304449	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-4a541%22	https://prium.github.io/Boots4/assets/img/gallery/4-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/4-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:43	75032/75032	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-12518%22	https://prium.github.io/Boots4/assets/img/gallery/5.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/5.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:43	261248/261248	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-3fc80%22	https://prium.github.io/Boots4/assets/img/gallery/5-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/5-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:44	71199/71199	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-1161f%22	https://prium.github.io/Boots4/assets/img/gallery/6.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/6.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:44	293154/293154	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-47922%22	https://prium.github.io/Boots4/assets/img/gallery/6-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/6-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:45	80450/80450	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-13a42%22	https://prium.github.io/Boots4/assets/img/gallery/7.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/7.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:46	351539/351539	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-55d33%22	https://prium.github.io/Boots4/assets/img/gallery/7-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/7-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:46	148177/148177	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-242d1%22	https://prium.github.io/Boots4/assets/img/gallery/8.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/8.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
11:40:46	337551/337551	---M--	200	added ('OK')	image/jpeg	etag:%225d78dfe3-5268f%22	https://prium.github.io/Boots4/assets/img/gallery/8-f.jpg	C:/Users/anto/Desktop/test/prium.github.io/Boots4/assets/img/gallery/8-f.jpg	(from https://prium.github.io/Boots4/nav-six-item-three-column.html)
